game_id,game_date,team,injury_off_impact,injury_def_impact,players_flagged,flagged_players,injury_total_impact
22500293,2025-11-29,BOS,0.0,0.0,0,,0.0
22500293,2025-11-29,MIN,0.0,0.0,0,,0.0
22500294,2025-11-29,CHA,0.0,0.0,0,,0.0
22500294,2025-11-29,TOR,0.0,0.0,0,,0.0
22500295,2025-11-29,CHI,0.0,0.0,0,,0.0
22500295,2025-11-29,IND,0.0,0.0,0,,0.0
22500296,2025-11-29,DET,0.0,0.0,0,,0.0
22500296,2025-11-29,MIA,0.0,0.0,0,,0.0
22500297,2025-11-29,BKN,0.0,0.0,0,,0.0
22500297,2025-11-29,MIL,0.0,0.0,0,,0.0
22500298,2025-11-29,GSW,0.0,0.0,0,,0.0
22500298,2025-11-29,NOP,0.0,0.0,0,,0.0
22500299,2025-11-29,DEN,0.0,0.0,0,,0.0
22500299,2025-11-29,PHX,0.0,0.0,0,,0.0
22500300,2025-11-29,DAL,0.0,0.0,0,,0.0
22500300,2025-11-29,LAC,0.0,0.0,0,,0.0
22500301,2025-11-30,HOU,0.0,0.0,0,,0.0
22500301,2025-11-30,UTA,0.0,0.0,0,,0.0
22500302,2025-11-30,BOS,0.0,0.0,0,,0.0
22500302,2025-11-30,CLE,0.0,0.0,0,,0.0
22500303,2025-11-30,NYK,0.0,0.0,0,,0.0
22500303,2025-11-30,TOR,0.0,0.0,0,,0.0
22500304,2025-11-30,ATL,0.0,0.0,0,,0.0
22500304,2025-11-30,PHI,0.0,0.0,0,,0.0
22500305,2025-11-30,OKC,0.0,0.0,0,,0.0
22500305,2025-11-30,POR,0.0,0.0,0,,0.0
22500306,2025-11-30,MIN,0.0,0.0,0,,0.0
22500306,2025-11-30,SAS,0.0,0.0,0,,0.0
22500307,2025-11-30,MEM,0.0,0.0,0,,0.0
22500307,2025-11-30,SAC,0.0,0.0,0,,0.0
22500308,2025-11-30,LAL,0.0,0.0,0,,0.0
